bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,receiptId,rec_createDate,rec_ScannedDate,rec_finishedDate,rec_modifyDate,pointsAwardedDate,purchaseDate,receipt_ids
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,2.0,FINISHED,11.00,5ff1e1dfcfcf6c399c274ab3,5ff1e1df0a7214ada1000564,1970-01-01 00:26:49.687519000,1970-01-01 00:26:49.687519000,1970-01-01 00:26:49.687520000,1970-01-01 00:26:49.687525000,1970-01-01 00:26:49.687519000,1970-01-01 00:26:49.601119000,17
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,1970-01-01 00:26:49.687476000,1970-01-01 00:26:49.687476000,,1970-01-01 00:26:49.687477000,1970-01-01 00:26:49.687476000,1970-01-01 00:26:49.601076000,18
300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300.0,2.0,FINISHED,26.00,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a720f0523000576,1970-01-01 00:26:49.687531000,1970-01-01 00:26:49.687531000,1970-01-01 00:26:49.687532000,1970-01-01 00:26:49.687536000,1970-01-01 00:26:49.687532000,1970-01-01 00:26:49.632000000,19
5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1c80a720f052300056d,1970-01-01 00:26:49.687496000,1970-01-01 00:26:49.687496000,1970-01-01 00:26:49.687502000,1970-01-01 00:26:49.687502000,1970-01-01 00:26:49.687496000,1970-01-01 00:26:49.601096000,20
300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",389.2,6.0,FINISHED,14.00,5f9c74e3f1937815bd2c1d73,5f9c74f90a7214ad07000038,1970-01-01 00:26:44.089081000,1970-01-01 00:26:44.089081000,1970-01-01 00:26:49.688395000,1970-01-01 00:26:49.688395000,1970-01-01 00:26:49.688395000,1970-01-01 00:26:44.002681000,21
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FINISHED,1.00,5ff1e196cfcf6c399c274a38,5ff1e1960a720f0523000567,1970-01-01 00:26:49.687446000,1970-01-01 00:26:49.687446000,1970-01-01 00:26:49.687450000,1970-01-01 00:26:49.687450000,1970-01-01 00:26:49.687450000,1970-01-01 00:26:49.601046000,22
150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150.0,2.0,FINISHED,21.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ec0a7214ada100056c,1970-01-01 00:26:49.687532000,1970-01-01 00:26:49.687532000,1970-01-01 00:26:49.687532000,1970-01-01 00:26:49.687537000,1970-01-01 00:26:49.687532000,1970-01-01 00:26:49.632000000,23
40.0,COMPLETE_PARTNER_RECEIPT,185.0,2.0,FINISHED,2.00,5ff1e194b6a9d73a3a9f1052,5ff1e1d70a720f0523000571,1970-01-01 00:26:49.687511000,1970-01-01 00:26:49.687511000,1970-01-01 00:26:49.687512000,1970-01-01 00:26:49.687512000,1970-01-01 00:26:49.687512000,1970-01-01 00:26:49.601111000,24
5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1c60a7214ada100055e,1970-01-01 00:26:49.687494000,1970-01-01 00:26:49.687494000,1970-01-01 00:26:49.687499000,1970-01-01 00:26:49.687499000,1970-01-01 00:26:49.687494000,1970-01-01 00:26:49.601094000,25
5.0,All-receipts receipt bonus,5.0,5.0,FINISHED,27.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada1000570,1970-01-01 00:26:49.687534000,1970-01-01 00:26:49.687534000,1970-01-01 00:26:49.687535000,1970-01-01 00:26:49.687540000,1970-01-01 00:26:49.687535000,1970-01-01 00:26:49.632000000,26
